Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Walgreens,1006,2024-01-01,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.83,153,432.99,152.5,35.22
Walgreens,1006,2024-01-01,South,Texas,Houston,Coca-Cola Zero Sugar,Coke Zero 1.5L,0.91,373,339.43,123.31,36.33
Kroger,1003,2024-01-01,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,0.99,111,109.89,44.12,40.15
Costco,1004,2024-01-01,Midwest,Michigan,Detroit,Sprite,Sprite 1.5L,3.3,68,224.4,58.28,25.97
Kroger,1003,2024-01-01,South,Florida,Miami,Diet Coke,Diet Coke 33cl,3.27,39,127.53,45.29,35.51
Target,1002,2024-01-01,Northeast,Pennsylvania,Philadelphia,Coca-Cola,Coca-Cola 1.5L,1.53,199,304.47,66.01,21.68
Kroger,1003,2024-01-02,Northeast,Pennsylvania,Philadelphia,Sprite,Sprite 33cl,2.18,270,588.6,131.14,22.28
Kroger,1003,2024-01-02,South,Florida,Miami,Coca-Cola,Coca-Cola 1.5L,3.18,362,1151.16,387.71,33.68
Costco,1004,2024-01-02,South,Georgia,Atlanta,Dasani Water,Dasani 1L,1.15,142,163.3,43.88,26.87
CVS,1005,2024-01-02,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,1.42,486,690.12,277.43,40.2
CVS,1005,2024-01-02,West,Washington,Seattle,Coca-Cola,Coca-Cola 2L,1.74,50,87.0,30.15,34.66
Target,1002,2024-01-02,West,Washington,Seattle,Dasani Water,Dasani 50cl,1.26,267,336.42,123.37,36.67
Walmart,1001,2024-01-02,South,Texas,Houston,Sprite,Sprite 1.5L,2.97,46,136.62,49.2,36.01
Walgreens,1006,2024-01-02,Midwest,Michigan,Detroit,Fanta,Fanta Orange 33cl,1.05,38,39.9,16.34,40.96
Walgreens,1006,2024-01-02,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 1.5L,1.37,274,375.38,94.03,25.05
Target,1002,2024-01-02,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.99,164,490.36,140.73,28.7
